2017-06-21 13:54:54,709 [localhost-startStop-1] INFO  com.siemens.polarion.rt.config.RtAppConfig  - RT server config is created
2017-06-21 13:54:56,053 [localhost-startStop-1] INFO  com.siemens.polarion.rt.parsers.RtParserProviderImpl  - Initialization of RT parsers...
2017-06-21 13:54:56,053 [localhost-startStop-1] INFO  com.siemens.polarion.rt.parsers.RtParserProviderImpl  - Found parser com.siemens.polarion.rt.parsers.c (contributed by 'com.siemens.polarion.rt.parsers.c')
2017-06-21 13:54:56,053 [localhost-startStop-1] INFO  com.siemens.polarion.rt.parsers.RtParserProviderImpl  - Found parser com.siemens.polarion.rt.parsers.java (contributed by 'com.siemens.polarion.rt')
2017-06-21 13:54:56,053 [localhost-startStop-1] INFO  com.siemens.polarion.rt.parsers.RtParserProviderImpl  - Found parser com.siemens.polarion.rt.parsers.xml (contributed by 'com.siemens.polarion.rt')
2017-06-21 13:54:56,069 [localhost-startStop-1] INFO  com.siemens.polarion.rt.collectors.RtCollectorProviderImpl  - Initialization of RT collectors...
2017-06-21 13:54:56,069 [localhost-startStop-1] INFO  com.siemens.polarion.rt.collectors.RtCollectorProviderImpl  - Found collector for git (contributed by 'com.siemens.polarion.rt.collectors.git')
2017-06-21 13:54:56,069 [localhost-startStop-1] INFO  com.siemens.polarion.rt.collectors.RtCollectorProviderImpl  - Found collector for subversion (contributed by 'com.siemens.polarion.rt')
2017-06-21 13:54:57,350 [taskScheduler-1] INFO  com.siemens.polarion.rt.collectors.RtCollectChangedFilesTask  - Collection STARTED for repository first_category/default (subversion)
2017-06-21 13:54:57,428 [taskScheduler-1] INFO  com.siemens.polarion.rt.collectors.svn.RtSvnCollector  - Finished processing of head revision 1 for Location[repository default, path /Demo Projects/elibrary/branches/0.9]
2017-06-21 13:54:57,663 [taskScheduler-1] INFO  com.siemens.polarion.rt.collectors.svn.RtSvnCollector  - Finished processing of head revision 1 for Location[repository default, path /Demo Projects/elibrary/branches/1.0]
2017-06-21 13:54:57,694 [taskScheduler-1] INFO  com.siemens.polarion.rt.collectors.RtCollectChangedFilesTask  - Collection FINISHED for repository first_category/default (subversion)
2017-06-21 13:55:08,400 [main | u:p] INFO  com.siemens.polarion.rt.communication.connection.RtNotifier  - RT server was successfully notified of configuration change.
2017-06-21 13:55:08,400 [main | u:p] INFO  com.siemens.polarion.rt.communication.connection.RtNotificationStartup  - Rt notification service is started
2017-06-21 14:41:40,321 [ajp-nio-8889-exec-7 | u:admin] INFO  com.siemens.polarion.rt.communication.connection.RtNotifier  - RT server was successfully notified of configuration change.
2017-06-21 14:43:42,292 [PullingJob-fireNotification-5 | u:p | r:8] INFO  com.siemens.polarion.rt.communication.connection.RtNotifier  - RT server was successfully notified of configuration change.
2017-06-21 14:46:39,377 [PullingJob-fireNotification-1 | u:p | r:9] INFO  com.siemens.polarion.rt.communication.connection.RtNotifier  - RT server was successfully notified of configuration change.
2017-06-21 14:46:40,236 [PullingJob-fireNotification-1 | u:p | r:9] INFO  com.siemens.polarion.rt.communication.connection.RtNotifier  - RT server was successfully notified of configuration change.
2017-06-21 14:46:40,471 [PullingJob-fireNotification-1 | u:p | r:9] INFO  com.siemens.polarion.rt.communication.connection.RtNotifier  - RT server was successfully notified of configuration change.
2017-06-21 18:46:45,616 [ajp-nio-8889-exec-2 | u:admin] INFO  com.siemens.polarion.rt.communication.connection.RtNotifier  - RT server was successfully notified of configuration change.
2017-06-22 10:15:46,193 [localhost-startStop-2] INFO  com.siemens.polarion.rt.config.RtClosingApplicationListener  - Rt closing event received
