2017-06-22 16:05:10,363 [main | u:p] INFO  TXLOGGER  - Summary for 'Platform startup': transactions: 0, DB: 0.0404 s [50% query (13x), 48% update (126x)] (206x), svn: 0.0244 s [87% checkPath (1x)] (3x)
2017-06-22 16:05:10,585 [main | u:p] INFO  TXLOGGER  - Summary for 'Context recognition': transactions: 0, svn: 0.0895 s [40% info (3x), 33% getDir2 content (2x), 27% getFile content (1x)] (6x)
2017-06-22 16:05:11,870 [LowLevelDataService-contextInitializer-2 | u:p] INFO  TXLOGGER  - Summary: Total: 1.28 s, transactions: 0, svn: 0.113 s [97% log2 (6x)] (8x)
2017-06-22 16:05:11,870 [LowLevelDataService-contextInitializer-4 | u:p] INFO  TXLOGGER  - Summary: Total: 1.28 s, transactions: 0, svn: 0.129 s [96% log2 (10x)] (12x)
2017-06-22 16:05:11,870 [LowLevelDataService-contextInitializer-5 | u:p] INFO  TXLOGGER  - Summary: Total: 1.28 s, transactions: 0, svn: 0.0699 s [98% log2 (5x)] (6x)
2017-06-22 16:05:11,871 [LowLevelDataService-contextInitializer-1 | u:p] INFO  TXLOGGER  - Summary: Total: 1.28 s, transactions: 0, svn: 0.197 s [41% log2 (5x), 24% log (1x), 24% info (4x)] (15x)
2017-06-22 16:05:11,871 [LowLevelDataService-contextInitializer-3 | u:p] INFO  TXLOGGER  - Summary: Total: 1.28 s, transactions: 0, ObjectMaps: 0.284 s [100% getAllPrimaryObjects (1x)] (7x)
2017-06-22 16:05:11,871 [main | u:p] INFO  TXLOGGER  - Summary for 'Context initialization': transactions: 0, svn: 0.545 s [77% log2 (31x), 9% log (1x)] (47x), ObjectMaps: 0.424 s [99% getAllPrimaryObjects (7x)] (55x)
2017-06-22 16:05:12,183 [main | u:p] INFO  TXLOGGER  - Summary for 'Revisions processing': transactions: 14, RepositoryConfigService: 0.208 s [100% getReadConfiguration (42x)] (42x), svn: 0.118 s [92% info (15x)] (32x)
2017-06-22 16:05:12,895 [main | u:p] INFO  TXLOGGER  - Summary for 'Build artifacts recognition': transactions: 40, svn: 0.568 s [87% info (78x)] (131x), RepositoryConfigService: 0.454 s [100% getReadConfiguration (80x)] (80x)
2017-06-22 16:05:13,581 [main | u:p] INFO  TXLOGGER  - Summary for 'Data indexing': transactions: 0, Lucene: 0.317 s [100% refresh (2x)] (2x), SubterraURITable: 0.0266 s [100% addIfNotExistsDB (17x)] (17x), DB: 0.026 s [49% update (38x), 22% query (17x), 21% execute (12x)] (103x)
