2017-06-23 10:10:25,243 [main | u:p] INFO  TXLOGGER  - Summary for 'Platform startup': transactions: 0, DB: 0.0422 s [50% update (126x), 48% query (13x)] (206x), svn: 0.0258 s [85% checkPath (1x)] (3x)
2017-06-23 10:10:25,436 [main | u:p] INFO  TXLOGGER  - Summary for 'Context recognition': transactions: 0, svn: 0.072 s [38% info (3x), 32% getFile content (1x), 31% getDir2 content (2x)] (6x)
2017-06-23 10:10:26,618 [LowLevelDataService-contextInitializer-1 | u:p] INFO  TXLOGGER  - Summary: Total: 1.18 s, transactions: 0
2017-06-23 10:10:26,618 [LowLevelDataService-contextInitializer-5 | u:p] INFO  TXLOGGER  - Summary: Total: 1.18 s, transactions: 0, svn: 0.141 s [37% log2 (5x), 26% log (1x), 22% info (4x)] (15x)
2017-06-23 10:10:26,618 [LowLevelDataService-contextInitializer-2 | u:p] INFO  TXLOGGER  - Summary: Total: 1.18 s, transactions: 0, svn: 0.115 s [98% log2 (6x)] (8x)
2017-06-23 10:10:26,618 [LowLevelDataService-contextInitializer-4 | u:p] INFO  TXLOGGER  - Summary: Total: 1.18 s, transactions: 0, svn: 0.111 s [97% log2 (10x)] (12x)
2017-06-23 10:10:26,618 [LowLevelDataService-contextInitializer-3 | u:p] INFO  TXLOGGER  - Summary: Total: 1.18 s, transactions: 0, ObjectMaps: 0.26 s [100% getAllPrimaryObjects (1x)] (7x)
2017-06-23 10:10:26,619 [main | u:p] INFO  TXLOGGER  - Summary for 'Context initialization': transactions: 0, svn: 0.443 s [78% log2 (31x), 8% log (1x)] (47x), ObjectMaps: 0.402 s [99% getAllPrimaryObjects (7x)] (55x)
2017-06-23 10:10:26,929 [main | u:p] INFO  TXLOGGER  - Summary for 'Revisions processing': transactions: 14, RepositoryConfigService: 0.195 s [100% getReadConfiguration (42x)] (42x), svn: 0.0913 s [90% info (15x)] (32x)
2017-06-23 10:10:27,551 [main | u:p] INFO  TXLOGGER  - Summary for 'Build artifacts recognition': transactions: 40, svn: 0.472 s [82% info (78x)] (131x), RepositoryConfigService: 0.403 s [100% getReadConfiguration (80x)] (80x)
2017-06-23 10:10:28,188 [main | u:p] INFO  TXLOGGER  - Summary for 'Data indexing': transactions: 0, Lucene: 0.268 s [100% refresh (2x)] (2x), SubterraURITable: 0.0252 s [100% addIfNotExistsDB (17x)] (17x), DB: 0.0242 s [49% update (38x), 22% query (17x), 21% execute (12x)] (103x)
